recipeCode,ingredientCode,foodCode,foodFactVersionNumber,quantity,unitCode,preparationNoteVi,order
canh_chua_ca_loc,nuoc_mam,nuoc_mam,2,5,ml,,6
canh_chua_ca_loc,duong_cat,duong_cat,2,12.5,g,,7
canh_cai_thao_thit,cai_thao,cai_thao,2,300,g,,1
canh_cai_thao_thit,thit_nac_vai,thit_nac_vai,2,200,g,,2
canh_cai_thao_thit,hanh_la,hanh_la,2,45,g,,3
canh_cai_thao_thit,hat_nem,hat_nem,2,5,g,,4
canh_ca_chua_trung,ca_chua,ca_chua,2,123,g,,1
canh_ca_chua_trung,trung_ga,trung_ga,2,2,item,,2
canh_ca_chua_trung,hanh_la,hanh_la,2,15,g,,3
canh_ca_chua_trung,hat_nem,hat_nem,2,15,g,,4
canh_ca_chua_trung,muoi,muoi,2,6,g,,5
canh_bi_do_thit_bam,bi_do,bi_do,2,500,g,,1
canh_bi_do_thit_bam,thit_bo_xay,thit_bo_xay,2,500,g,,2
canh_bi_do_thit_bam,hanh_la,hanh_la,2,30,g,,3
canh_bi_do_thit_bam,hat_nem,hat_nem,2,7,g,,4
